variable;variable_old;item;text;info
Progress;Progress;NA;Aktueller Stand;"{""ImportId"":""progress""}"
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
participation;participation;NA;Bitte treffen Sie eine Wahl;"{""ImportId"":""QID96""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren an.;"{""ImportId"":""QID1_TEXT""}"
gender;gender;NA;Welchem Geschlecht fühlen Sie sich zugehörig?;"{""ImportId"":""QID2""}"
education;education;NA;Bitte geben Sie Ihren höchsten Bildungsabschluss an.;"{""ImportId"":""QID3""}"
livesinaachen;livesinaachen;NA;Wohnen oder arbeiten Sie in der Städteregion Aachen?;"{""ImportId"":""QID87""}"
region;region;NA;Bitte geben Sie Ihre Wohnlage an.;"{""ImportId"":""QID4""}"
media channels;media channels;NA;Bitte geben Sie an, auf welchen Wegen Sie sich über Neuigkeiten aus der Städteregion Aachen informieren (Mehrfachantworten möglich).;"{""ImportId"":""QID99""}"
license;license;NA;Besitzen Sie einen KFZ-Führerschein?;"{""ImportId"":""QID30""}"
own_vehicle;own_vehicle;NA;Besitzen Sie ein eigenes Fahrzeug?;"{""ImportId"":""QID31""}"
preferences_mobility_1;preferences_mobility_1;Auto;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Auto;"{""ImportId"":""QID32_1""}"
preferences_mobility_2;preferences_mobility_2;E-Auto;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Auto;"{""ImportId"":""QID32_2""}"
preferences_mobility_3;preferences_mobility_3;Roller/Mofa/Motorrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Roller/Mofa/Motorrad;"{""ImportId"":""QID32_3""}"
preferences_mobility_4;preferences_mobility_4;Fahrrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Fahrrad;"{""ImportId"":""QID32_4""}"
preferences_mobility_5;preferences_mobility_5;E-Fahrrad;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Fahrrad;"{""ImportId"":""QID32_5""}"
preferences_mobility_6;preferences_mobility_6;E-Roller;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - E-Roller;"{""ImportId"":""QID32_6""}"
preferences_mobility_7;preferences_mobility_7;Bus;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Bus;"{""ImportId"":""QID32_7""}"
preferences_mobility_8;preferences_mobility_8;Bahn (S-Bahn, Regionalbahn, Fernverkehr);Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Bahn (S-Bahn, Regionalbahn, Fernverkehr);"{""ImportId"":""QID32_8""}"
preferences_mobility_9;preferences_mobility_9;Taxi;Welches Verkehrsmittel nutzen Sie am häufigsten? Bitte bringen Sie die folgenden Verkehrsmittel der Häufigkeit nach in eine Reihenfolge. 1 = Benutze ich am häufigsten, 8 = Benutze ich am seltensten. - Taxi;"{""ImportId"":""QID32_9""}"
driving_climate_1;driving_climate_1;Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der ansteigende Autoverkehr ist ein großes Problem für den Umweltschutz.;"{""ImportId"":""QID97_1""}"
driving_climate_2;driving_climate_2;Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Anteil des Autoverkehrs an der Umweltzerstörung wird von den Medien unnötig hochgespielt.;"{""ImportId"":""QID97_2""}"
driving_climate_3;driving_climate_3;Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Ich mache mir Sorgen, wenn ich an die Umweltzerstörung durch das Autofahren denke.;"{""ImportId"":""QID97_3""}"
driving_climate_4;driving_climate_4;Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;Nun möchten wir mehr über Ihre Einstellung in Bezug auf Autofahren und Klimaschutz erfahren. - Der Autoverkehr bereitet mir hinsichtlich der möglichen Umweltauswirkungen keine ernsthaften Sorgen.;"{""ImportId"":""QID97_4""}"
