"","Progress","Duration (in seconds)","ResponseId","participation","age","gender","education","livesinaachen","region","media channels","license","own_vehicle","preferences_mobility_1","preferences_mobility_2","preferences_mobility_3","preferences_mobility_4","preferences_mobility_5","preferences_mobility_6","preferences_mobility_7","preferences_mobility_8","preferences_mobility_9","driving_climate_1","driving_climate_2_n","driving_climate_3","driving_climate_4_n","technology_curios","technology_favor","technology_new","technology_moreoften","technology_scared_n","technology_overload_n","technology_destroy","technology_complex","technology_succesful","technology_me","technology_solution","technology_happening","utaut_performance1","utaut_performance2","utaut_performance3","utaut_performance 4","utaut_effort1","utaut_effort2","utaut_effort3","utaut_effort4","utaut_social1","utaut_social2","utaut_social3","utaut_hedonic1","utaut_hedonic2","utaut_hedonic3","utaut_pricevalue1","utaut_pricevalue2","utaut_pricevalue3","utaut_fascilitating1","utaut_fascilitating2","utaut_fascilitating3","utaut_fascilitating4","utaut_behavioral1","utaut_behavioral2","utaut_behavioral3","utaut_useintention","Sem_Diff_Ziefle_1","Sem_Diff_Ziefle_2","Sem_Diff_Ziefle_3","Sem_Diff_Ziefle_4","Sem_Diff_Ziefle_5","Sem_Diff_Ziefle_6","Sem_Diff_Ziefle_7","Sem_Diff_Ziefle_8","Sem_Diff_Ziefle_9","Sem_Diff_Ziefle_10","Sem_Diff_Ziefle_11","Sem_Diff_Ziefle_12","Sem_Diff_Ziefle_13","Sem_Diff_Ziefle_14","Sem_Diff_Ziefle_15","Sem_Diff_Ziefle_16","Sem_Diff_Ziefle_17","Sem_Diff_Ziefle_18","Sem_Diff_Ziefle_19","Sem_Diff_Ziefle_20","Sem_Diff_Ziefle_21","Sem_Diff_Ziefle_22","Sem_Diff_Ziefle_23"
"1",100,768,"R_5pnAGga1RhZxGXQ",1,27,2,"(Fach-)Hochschulabschluss",1,3,235,"Ja",2,4,5,8,1,6,7,2,3,9,5,1,5,2,5,5,6,5,2,1,2,2,4,5,5,5,5,4,4,3,3,4,5,5,5,5,5,5,5,4,5,4,5,5,5,3,5,5,3,5,5,5,4,4,4,4,2,2,2,4,2,2,4,2,1,5,1,1,5,1,4,3,1,1
"2",100,328,"R_1rvJTxh29UQYIr7",1,28,1,"(Fach-)Hochschulabschluss",1,3,10,"Ja",1,2,8,9,6,7,3,1,4,5,6,1,5,3,5,5,4,3,2,2,2,2,5,5,6,6,5,5,6,3,4,4,3,4,5,5,5,5,5,6,5,4,5,5,4,5,5,5,4,5,5,5,4,5,1,2,2,4,4,3,5,5,5,4,5,5,5,2,4,5,5,5,5,5
"3",100,430,"R_2EnWtxWgYnu2wxj",1,22,1,"(Fach-)Hochschulabschluss",1,3,481011,"Ja",2,2,6,8,5,9,7,1,3,4,5,3,5,2,3,5,5,5,5,2,5,1,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,5,3,3,3,4,5,4,4,2,3,3,4,4,4,2,4,5,4,4,4,2,4,4,4,4,4,4,4,5,5,3,3
"4",100,750,"R_7g0U1TnXED8jerY",1,24,1,"(Fach-)Hochschulabschluss",1,3,45,"Ja",2,3,9,7,5,8,6,1,2,4,5,2,5,3,5,5,5,6,2,3,3,3,3,4,4,3,6,6,5,4,4,5,4,5,5,5,6,6,5,4,5,6,6,6,5,5,3,6,6,6,7,5,5,4,4,2,2,4,2,5,4,2,3,3,2,3,2,2,4,5,5,4,5,5
"5",100,662,"R_31XjpJ4Hv9QFxkd",1,25,1,"(Fach-)Abitur",1,3,1011,NA,NA,4,5,7,8,9,6,1,2,3,5,3,5,2,5,4,2,3,3,2,1,1,3,4,3,5,5,4,5,3,6,6,6,6,4,4,4,5,5,5,4,4,5,5,5,6,6,5,4,6,4,4,4,3,4,3,4,4,2,4,4,4,4,3,5,4,5,3,2,5,4,4,4,3
"6",100,782,"R_8nsA6NVe0K3XPS9",1,25,2,"(Fach-)Abitur",1,3,10,"Nein",2,3,8,9,4,5,7,1,2,6,6,5,3,2,5,3,1,3,2,3,1,2,2,1,2,6,4,1,3,1,5,4,4,6,1,1,1,4,3,3,3,2,2,5,5,4,5,1,2,1,2,3,4,4,3,3,4,2,3,3,3,3,4,2,5,2,1,2,2,2,4,3,2,4
"7",100,725,"R_70S4TiTmthsmMw7",1,35,2,"(Fach-)Abitur",1,3,2310,"Ja",1,2,7,8,1,9,4,3,5,6,6,6,6,1,5,4,2,1,4,2,2,1,5,5,4,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,2,3,3,6,6,6,4,6,6,6,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,5,5,5,5,5
"8",100,159,"R_6ckdDJuEjyiOEnP",1,23,1,"(Fach-)Hochschulabschluss",1,3,2371011,"Ja",2,3,4,8,5,9,6,1,2,7,3,3,2,4,4,5,4,4,5,4,3,3,3,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,3,5,5,5,4,4,3,4,5,5,5,5,5,2,3,5,4,3,3,1,5,3,5,5,5,5,5,5,4,5,4,4,4,2,4,3
"9",100,3000,"R_84vmtfpOCoYwvmj",1,26,1,"(Fach-)Abitur",1,3,237810,"Ja",1,3,8,7,1,9,5,2,4,6,5,2,5,2,5,4,4,5,3,3,4,3,5,5,5,5,2,2,3,1,5,5,5,5,2,3,3,3,4,4,2,3,4,5,5,5,5,2,2,2,2,3,2,2,1,1,3,1,2,2,2,1,3,3,4,5,3,2,2,1,2,3,1,3
"10",100,918,"R_7eY2a72IpRfph1T",1,20,1,"(Fach-)Abitur",1,3,235710,"Nein",2,1,7,9,5,8,6,2,3,4,6,2,5,2,5,5,3,3,2,2,1,2,4,5,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,3,3,4,3,5,4,5,5,5,5,3,2,4,3,4,5,4,5
